class,label,concept
shrew,74,small eyes and ears
shrew,74,a pointed snout
shrew,74,"short, velvety fur"
shrew,74,a rock
shrew,74,a cat
shrew,74,a predator
shrew,74,a hawk
shrew,74,vertebrate
shrew,74,mammal
shrew,74,a insect
shrew,74,a tunnel
shrew,74,"a long, thick tail"
shrew,74,"a small, rodent-like body"
skunk,75,animal
skunk,75,a hole in the ground
skunk,75,black and white coloration
skunk,75,a stripe
skunk,75,a small head
skunk,75,a striped pattern on the back
skunk,75,a black and white color scheme
skunk,75,mammal
skunk,75,"large, black eyes"
skunk,75,a spray bottle
skunk,75,"a long, thick tail"
skunk,75,"a fresh, earthy smell"
skunk,75,vertebrate
skyscraper,76,pedestrians
skyscraper,76,"smooth, straight lines"
skyscraper,76,lots of windows
skyscraper,76,a sidewalk
skyscraper,76,a city
skyscraper,76,"a large, rectangular shape"
skyscraper,76,building
skyscraper,76,a street
skyscraper,76,people
skyscraper,76,passenger cars
skyscraper,76,"a small, pointed top"
skyscraper,76,often has a point at the top
skyscraper,76,structure
skyscraper,76,a uniform color
skyscraper,76,made of metal or glass
skyscraper,76,object
snail,77,plant
snail,77,animal
snail,77,"a large, spiral shell"
snail,77,slow movement
snail,77,mollusc
snail,77,slime
snail,77,a small leaf at the top
snail,77,"a small, hard shell"
snail,77,a slime trail
snail,77,dirt
snail,77,a rock
snail,77,water
snail,77,"a soft, slimy body"
snail,77,"a long, thick tail"
snail,77,two feelers
snail,77,invertebrate
snail,77,a garden
snail,77,a shell
snail,77,a round shape
snake,78,animal
snake,78,a large number of trees
snake,78,large scales
snake,78,"a tall, slender shape"
snake,78,a snake charmer
snake,78,leaves
snake,78,a branch
snake,78,a mongoose
snake,78,a basket
snake,78,a small head
snake,78,vertebrate
snake,78,a cobra
snake,78,no legs
snake,78,a python
snake,78,a forked tongue
spider,79,two feelers
spider,79,a shadow
spider,79,eight eyes
spider,79,animal
spider,79,"a long, thin abdomen"
spider,79,a small leaf at the top
spider,79,"two large, compound eyes"
spider,79,a fly
spider,79,person
spider,79,a web
spider,79,a bug
spider,79,fang-like mouthparts
spider,79,many legs
spider,79,a branch
spider,79,a small head
spider,79,a round shape
spider,79,a insect
spider,79,hairy or spiny legs
squirrel,80,a tail
squirrel,80,animal
squirrel,80,a small leaf at the top
squirrel,80,sharp claws
squirrel,80,person
squirrel,80,able to climb trees
squirrel,80,acorns
squirrel,80,a branch
squirrel,80,"a small, furry body"
squirrel,80,a bird feeder
squirrel,80,front paws that resemble hands
squirrel,80,mammal
squirrel,80,brown or gray fur
squirrel,80,vertebrate
squirrel,80,large ears
squirrel,80,nuts
squirrel,80,"a small, rodent-like body"
streetcar,81,pedestrians
streetcar,81,"a long, slender body"
streetcar,81,rail vehicle
streetcar,81,mode of transportation
streetcar,81,"a tall, slender shape"
streetcar,81,a city
streetcar,81,a track
streetcar,81,a street
streetcar,81,tracks for wheels
streetcar,81,passenger cars
streetcar,81,a platform at one end
streetcar,81,a stop sign
streetcar,81,tram
streetcar,81,a street light
streetcar,81,usually electric power
streetcar,81,object
sunflower,82,a pot
sunflower,82,plant
sunflower,82,"a large, colorful flower"
sunflower,82,a garden
sunflower,82,a black center
sunflower,82,a long stem
sunflower,82,flower
sunflower,82,"a large, round head"
sunflower,82,organism
sunflower,82,a field
sunflower,82,soil
sunflower,82,green leaves
sunflower,82,a ladybug
sunflower,82,a large yellow center
sunflower,82,"a green, leafy base"
sunflower,82,a watering can
sunflower,82,"a red, green, or yellow color"
sweet pepper,83,a sun
sweet pepper,83,plant
sweet pepper,83,a fridge
sweet pepper,83,a garden
sweet pepper,83,a grocery store
sweet pepper,83,"a tall, slender shape"
sweet pepper,83,a watering can
sweet pepper,83,person
sweet pepper,83,a red or orange color
sweet pepper,83,a knife
sweet pepper,83,a cutting board
sweet pepper,83,soil
sweet pepper,83,a mild flavor
sweet pepper,83,"smooth, green skin"
sweet pepper,83,pointed at one end
sweet pepper,83,"a thin, papery texture"
sweet pepper,83,vegetable
table,84,a place mat
table,84,a knife
table,84,a forked tail
table,84,person
table,84,a spoon
table,84,legs or support underneath
table,84,a sturdy build
table,84,a glass
table,84,furniture
table,84,"a large, flat surface"
table,84,object
tank,85,a soldier
tank,85,container
tank,85,a vehicle
tank,85,usually has a lid
tank,85,a country
tank,85,a gun
tank,85,may have an air pump or filter
tank,85,a flag
tank,85,"a large, rectangular shape"
tank,85,used to hold liquids or gases
tank,85,machine
tank,85,a uniform color
tank,85,a helmet
tank,85,made of metal or glass
tank,85,object
telephone,86,a pen
telephone,86,buttons
telephone,86,a phone
telephone,86,a sturdy base
telephone,86,device
telephone,86,a paper
telephone,86,a number pad
telephone,86,tool
telephone,86,person
telephone,86,a keypad on one side
telephone,86,communication device
telephone,86,electronic device
telephone,86,a cord
telephone,86,a round shape
telephone,86,a phone book
telephone,86,a base unit with a speaker
telephone,86,object
television,87,a stand
television,87,device
television,87,a computer screen
television,87,a blanket
television,87,an electrical outlet
television,87,a pillow
television,87,a coffee table
television,87,a living room
television,87,electronic device
television,87,machine
television,87,controls for power and volume
television,87,speakers
television,87,cables
television,87,appliance
television,87,a remote control
television,87,object
tiger,88,carnivore
tiger,88,"a large, muscular body"
tiger,88,animal
tiger,88,a striped coat
tiger,88,"a large, round head"
tiger,88,a zoo
tiger,88,Food
tiger,88,striped fur
tiger,88,a toy
tiger,88,water
tiger,88,mammal
tiger,88,a keeper
tiger,88,"a long, thick tail"
tiger,88,a cage
tiger,88,vertebrate
tiger,88,large ears
tiger,88,sharp claws
tractor,89,"a wide, flat front"
tractor,89,"a large, muscular body"
tractor,89,a steering wheel
tractor,89,a metal or plastic body
tractor,89,a plow
tractor,89,a harrow
tractor,89,object
tractor,89,exhaust pipes
tractor,89,a cultivator
tractor,89,wheels
tractor,89,a cab for the driver
tractor,89,a large size
tractor,89,a farmer
tractor,89,a trailer
tractor,89,a hitch for pulling trailers
tractor,89,a field
tractor,89,machine
tractor,89,chickens
tractor,89,a barn
train,90,a conductor
train,90,a vehicle
train,90,mode of transportation
train,90,a locomotive
train,90,lots of smoke
train,90,a track
train,90,a ticket
train,90,"a large, powerful engine"
train,90,passenger cars
train,90,a loud horn
train,90,wheels
train,90,long and slender
train,90,a schedule
train,90,object
trout,91,"a long, slender body"
trout,91,animal
trout,91,a river
trout,91,large fins
trout,91,bait
trout,91,large scales
trout,91,"a tall, slender shape"
trout,91,a forked tail
trout,91,a hook
trout,91,a pond
trout,91,a rod
trout,91,a net
trout,91,"large, black eyes"
trout,91,vertebrate
trout,91,a reel
tulip,92,a pot
tulip,92,plant
tulip,92,a generally tulip-shaped form
tulip,92,"a large, colorful flower"
tulip,92,a garden
tulip,92,a long stem
tulip,92,flower
tulip,92,person
tulip,92,dirt
tulip,92,a green thumb
tulip,92,leaves
tulip,92,a bulb at the base
tulip,92,"a green, leafy base"
tulip,92,a sunny windowsill
tulip,92,a watering can
turtle,93,a long neck
turtle,93,animal
turtle,93,a beach
turtle,93,logs
turtle,93,many legs
turtle,93,a pond
turtle,93,a rock
turtle,93,water
turtle,93,a small head
turtle,93,"a small, hard shell"
turtle,93,a shell
turtle,93,slow movement
turtle,93,a green or brown shell
turtle,93,"a long, thick tail"
turtle,93,vertebrate
turtle,93,a lawn
turtle,93,short legs
wardrobe,94,hangers
wardrobe,94,a pants
wardrobe,94,shoes
wardrobe,94,"a large, rectangular shape"
wardrobe,94,a dress
wardrobe,94,a bed frame
wardrobe,94,a shirt
wardrobe,94,storage
wardrobe,94,furniture
wardrobe,94,a light color
wardrobe,94,a mirror
wardrobe,94,a door
wardrobe,94,object
whale,95,animal
whale,95,"a large, muscular body"
whale,95,a harpoon
whale,95,a pointed snout
whale,95,seagulls
whale,95,"a large, ocean-dwelling mammal"
whale,95,a boat
whale,95,a captain
whale,95,flippers on the sides
whale,95,gray or blue color
whale,95,a net
whale,95,people
whale,95,a whalebone
whale,95,"a long, thick tail"
whale,95,vertebrate
whale,95,a crew of astronauts
whale,95,"a tall, slender shape"
whale,95,a blowhole
whale,95,mammal
willow tree,96,plant
willow tree,96,a river
willow tree,96,"lush, green leaves"
willow tree,96,organism
willow tree,96,a pond
willow tree,96,leaves
willow tree,96,a meadow
willow tree,96,a field
willow tree,96,greenish-brown color
willow tree,96,a weeping or cascading form
willow tree,96,a stream
willow tree,96,"a long, slender trunk"
willow tree,96,"long, drooping branches"
wolf,97,pups
wolf,97,facial hair
wolf,97,animal
wolf,97,"a large, muscular body"
wolf,97,a den
wolf,97,a large number of trees
wolf,97,a pointed snout
wolf,97,a mate
wolf,97,bushes
wolf,97,mammal
wolf,97,prey
wolf,97,a pack
wolf,97,"a long, thick tail"
wolf,97,brown or gray fur
wolf,97,vertebrate
wolf,97,large ears
woman,98,a softer voice than a man
woman,98,a phone
woman,98,long hair
woman,98,a generally curvy body shape
woman,98,breasts
woman,98,a tall stature
woman,98,a purse
woman,98,a male human child
woman,98,a muscular or stocky build
woman,98,a family
woman,98,human
woman,98,longer hair than a man
woman,98,person
woman,98,love
woman,98,adult
woman,98,a feminine face
woman,98,male
woman,98,"a tall, slender shape"
woman,98,a career
woman,98,narrow hips
woman,98,responsibilities
woman,98,a vehicle
worm,99,plant
worm,99,a compost bin
worm,99,animal
worm,99,invertebrate
worm,99,a garden
worm,99,often found in the dirt
worm,99,"a tall, slender shape"
worm,99,a forked tail
worm,99,dirt
worm,99,a worm bin
worm,99,soil
worm,99,moves by wriggling
worm,99,no legs
worm,99,a spade
